tag_dimension,tag,definition,color,labeling_note
motion,near_stationary,Mean VR-derived pedestrian speed is below 0.15 m/s or the segment contains near-zero speed.,#4E79A7,"Descriptive measured tag. Motion, head, and car-context tags are intentionally not pre-fused."
motion,pausing,VR-derived speed stays below 0.10 m/s for at least 0.12 seconds.,#A0CBE8,"Descriptive measured tag. Motion, head, and car-context tags are intentionally not pre-fused."
motion,hesitating,"Speed shows a short measured dip: drop >0.18 m/s and >22%, with partial recovery within 1.5 seconds.",#F28E2B,"Descriptive measured tag. Motion, head, and car-context tags are intentionally not pre-fused."
motion,speed_increasing,Pedestrian speed slope is positive enough to indicate rising speed.,#59A14F,"Descriptive measured tag. Motion, head, and car-context tags are intentionally not pre-fused."
motion,speed_decreasing,Pedestrian speed slope is negative enough to indicate falling speed.,#E15759,"Descriptive measured tag. Motion, head, and car-context tags are intentionally not pre-fused."
motion,speed_steady,Speed coefficient of variation is low while mean speed is above walking threshold.,#76B7B2,"Descriptive measured tag. Motion, head, and car-context tags are intentionally not pre-fused."
motion,fluctuating,Speed coefficient of variation is elevated without a clear increasing/decreasing slope.,#B07AA1,"Descriptive measured tag. Motion, head, and car-context tags are intentionally not pre-fused."
motion,mixed_motion,Motion does not cleanly match the other measured motion tags.,#9C755F,"Descriptive measured tag. Motion, head, and car-context tags are intentionally not pre-fused."
head,head_checking,Head turn spike is brief and exceeds 120 deg/s.,#FFBE7D,"Descriptive measured tag. Motion, head, and car-context tags are intentionally not pre-fused."
head,head_active,Head turn rate or head/body yaw difference is elevated.,#EDC948,"Descriptive measured tag. Motion, head, and car-context tags are intentionally not pre-fused."
head,head_still,Head turn activity stays below the head_checking/head_active thresholds.,#BAB0AC,"Descriptive measured tag. Motion, head, and car-context tags are intentionally not pre-fused."
car_context,yielding,"Near-car context with measured slowing, pausing, or hesitation.",#D37295,"Descriptive measured tag. Motion, head, and car-context tags are intentionally not pre-fused."
car_context,proceeding,Near-car context with measured steady or increasing movement.,#8CD17D,"Descriptive measured tag. Motion, head, and car-context tags are intentionally not pre-fused."
car_context,conflicted,Near-car context with fluctuating motion or a high-jerk hesitation.,#B6992D,"Descriptive measured tag. Motion, head, and car-context tags are intentionally not pre-fused."
car_context,neutral,Car-pedestrian distance never drops below the near-car threshold.,#D0D0D0,"Descriptive measured tag. Motion, head, and car-context tags are intentionally not pre-fused."
