tag_dimension,tag,tag_type,definition,color,labeling_note
motion,near_stationary,observable,Mean VR-derived pedestrian speed is below 0.15 m/s or the segment contains near-zero speed.,#4E79A7,"Observable tags are direct sensor-threshold measurements; inferred tags are structured hypotheses. Motion, head, and car-context tags are intentionally not pre-fused."
motion,pausing,observable,VR-derived speed stays below 0.10 m/s for at least 0.12 seconds.,#A0CBE8,"Observable tags are direct sensor-threshold measurements; inferred tags are structured hypotheses. Motion, head, and car-context tags are intentionally not pre-fused."
motion,hesitating,inferred,"Speed shows a short measured dip: drop >0.18 m/s and >22%, with partial recovery within 1.5 seconds.",#F28E2B,"Observable tags are direct sensor-threshold measurements; inferred tags are structured hypotheses. Motion, head, and car-context tags are intentionally not pre-fused."
motion,speed_increasing,observable,Pedestrian speed slope is positive enough to indicate rising speed.,#59A14F,"Observable tags are direct sensor-threshold measurements; inferred tags are structured hypotheses. Motion, head, and car-context tags are intentionally not pre-fused."
motion,speed_decreasing,observable,Pedestrian speed slope is negative enough to indicate falling speed.,#E15759,"Observable tags are direct sensor-threshold measurements; inferred tags are structured hypotheses. Motion, head, and car-context tags are intentionally not pre-fused."
motion,speed_steady,observable,Speed coefficient of variation is low while mean speed is above walking threshold.,#76B7B2,"Observable tags are direct sensor-threshold measurements; inferred tags are structured hypotheses. Motion, head, and car-context tags are intentionally not pre-fused."
motion,fluctuating,observable,Speed coefficient of variation is elevated without a clear increasing/decreasing slope.,#B07AA1,"Observable tags are direct sensor-threshold measurements; inferred tags are structured hypotheses. Motion, head, and car-context tags are intentionally not pre-fused."
motion,mixed_motion,inferred,Motion does not cleanly match the other measured motion tags.,#9C755F,"Observable tags are direct sensor-threshold measurements; inferred tags are structured hypotheses. Motion, head, and car-context tags are intentionally not pre-fused."
head,head_checking,inferred,Head turn spike is brief and exceeds 120 deg/s.,#FFBE7D,"Observable tags are direct sensor-threshold measurements; inferred tags are structured hypotheses. Motion, head, and car-context tags are intentionally not pre-fused."
head,head_active,observable,Head turn rate or head/body yaw difference is elevated.,#EDC948,"Observable tags are direct sensor-threshold measurements; inferred tags are structured hypotheses. Motion, head, and car-context tags are intentionally not pre-fused."
head,head_still,observable,Head turn activity stays below the head_checking/head_active thresholds.,#BAB0AC,"Observable tags are direct sensor-threshold measurements; inferred tags are structured hypotheses. Motion, head, and car-context tags are intentionally not pre-fused."
car_context,yielding,inferred,"Near-car context with measured slowing, pausing, or hesitation.",#D37295,"Observable tags are direct sensor-threshold measurements; inferred tags are structured hypotheses. Motion, head, and car-context tags are intentionally not pre-fused."
car_context,proceeding,inferred,Near-car context with measured steady or increasing movement.,#8CD17D,"Observable tags are direct sensor-threshold measurements; inferred tags are structured hypotheses. Motion, head, and car-context tags are intentionally not pre-fused."
car_context,conflicted,inferred,Near-car context with fluctuating motion or a high-jerk hesitation.,#B6992D,"Observable tags are direct sensor-threshold measurements; inferred tags are structured hypotheses. Motion, head, and car-context tags are intentionally not pre-fused."
car_context,neutral,observable,Car-pedestrian distance never drops below the near-car threshold.,#D0D0D0,"Observable tags are direct sensor-threshold measurements; inferred tags are structured hypotheses. Motion, head, and car-context tags are intentionally not pre-fused."
