event_primitive,definition,color,labeling_note
near_stationary,Mean VR-derived pedestrian speed is below 0.15 m/s or the segment contains near-zero speed.,#4E79A7,"Descriptive measured primitive, not a final inferred behavior class."
pausing,VR-derived speed stays below 0.10 m/s for at least 0.12 seconds.,#A0CBE8,"Descriptive measured primitive, not a final inferred behavior class."
hesitating,"Speed shows a short measured dip: drop >0.18 m/s and >22%, with partial recovery within 1.5 seconds.",#F28E2B,"Descriptive measured primitive, not a final inferred behavior class."
speed_increasing,Pedestrian speed slope is positive enough to indicate rising speed.,#59A14F,"Descriptive measured primitive, not a final inferred behavior class."
speed_decreasing,Pedestrian speed slope is negative enough to indicate falling speed.,#E15759,"Descriptive measured primitive, not a final inferred behavior class."
speed_steady,Speed coefficient of variation is low while mean speed is above walking threshold.,#76B7B2,"Descriptive measured primitive, not a final inferred behavior class."
fluctuating,Speed coefficient of variation is elevated without a clear increasing/decreasing slope.,#B07AA1,"Descriptive measured primitive, not a final inferred behavior class."
head_checking,Head turn spike is brief and exceeds 120 deg/s.,#FFBE7D,"Descriptive measured primitive, not a final inferred behavior class."
head_active,Head turn rate or head/body yaw difference is elevated.,#EDC948,"Descriptive measured primitive, not a final inferred behavior class."
yielding,"Near-car context with measured slowing, pausing, or hesitation.",#D37295,"Descriptive measured primitive, not a final inferred behavior class."
proceeding,Near-car context with measured steady or increasing movement.,#8CD17D,"Descriptive measured primitive, not a final inferred behavior class."
mixed_motion,No single measured primitive dominates.,#9C755F,"Descriptive measured primitive, not a final inferred behavior class."
